method,metric,p1_seed_values,p2_seed_values,blockage_%,p1_value,p1_seed_std,p2_value,p2_seed_std,delta_pp,delta_seed_std
BL-AG,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
BL-AG,primary,123+456+789,123+456+789,20,86.850000,0.909365,93.166667,0.360940,-6.316667,0.617116
BL-AG,primary,123+456+789,123+456+789,40,80.927778,1.162413,84.883333,0.338296,-3.955555,0.885427
BL-AG,primary,123+456+789,123+456+789,60,78.655555,1.791828,77.583333,1.235246,1.072222,2.526599
BL-AG,primary,123+456+789,123+456+789,80,75.166667,2.096624,72.433334,2.626944,2.733333,3.196482
BL-AG,primary,123+456+789,123+456+789,100,70.461111,1.837294,69.222222,3.390605,1.238889,1.848447
BL-AW,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
BL-AW,primary,123+456+789,123+456+789,20,98.338889,0.063099,98.294444,0.276050,0.044445,0.285935
BL-AW,primary,123+456+789,123+456+789,40,98.133333,0.060092,98.344444,0.019245,-0.211111,0.078764
BL-AW,primary,123+456+789,123+456+789,60,97.822222,0.335548,98.183333,0.044096,-0.361111,0.335134
BL-AW,primary,123+456+789,123+456+789,80,97.694445,0.069389,98.166667,0.083334,-0.472222,0.120570
BL-AW,primary,123+456+789,123+456+789,100,97.694445,0.069389,98.027778,0.075154,-0.333333,0.092796
FT:freeze_cnn,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
FT:freeze_cnn,primary,123+456+789,123+456+789,20,96.905555,0.298297,97.294444,0.443888,-0.388889,0.725781
FT:freeze_cnn,primary,123+456+789,123+456+789,40,95.711111,0.337200,96.522222,0.711870,-0.811111,1.046467
FT:freeze_cnn,primary,123+456+789,123+456+789,60,94.966667,0.212786,95.555556,0.830216,-0.588889,1.029608
FT:freeze_cnn,primary,123+456+789,123+456+789,80,94.422222,0.053576,94.988889,0.798320,-0.566667,0.851143
FT:freeze_cnn,primary,123+456+789,123+456+789,100,93.872222,0.692486,94.200000,0.991772,-0.327778,1.479896
